1,1001,0N1 Force,147262453,6917,15982,4217
2,1002,0xVampire,8343143,6105,13396,4281
3,1003,888 Inner Circle,49408610,5040,9423,1
4,1004,Adam Bomb Squad,40193328,8774,23440,7958
5,1005,Al Cabones,2956652,1520,4243,3635
6,1006,Alien Worlds,33282729,405975,4630191,2562646
7,1007,ALPACADABRAZ,8639796,2851,6467,3052
8,1008,Animetas,27492325,5461,15763,4045
9,1009,Animonkeys,4411480,1412,3660,998
10,1010,Anonymice,45737499,2097,5466,1454
11,1011,Art Blocks,1075223906,20934,117602,25094
12,1012,Aurory,73560965,5447,12152,5598
13,1013,Autoglyphs,41866276,183,349,157
14,1014,Avastars,6894953,2755,8300,4666
15,1015,Avid Lines,14398302,265,469,265
16,1016,Axie Infinity,3328148500,1079811,9755511,2656431
17,1017,Axolittles,9512924,5859,13411,4368
18,1018,BabyApes,2521714,1671,3405,2785
19,1019,Bastard Gan Punks V2,20062405,3246,10387,2893
20,1020,Birbs,3468983,4469,9488,2629
21,1021,Bitcoin Origins,2966704,4109,34483,8985
22,1022,Blitmap,31281002,352,849,577
23,1023,Block Art,3196270,1170,2644,2719
24,1024,Bloot,33981840,6100,14125,4214
25,1025,Bold Badgers,23678164,5525,17111,4307
26,1026,Bonsai by ZENFT,4027134,2757,6317,2723
27,1027,Bored Ape Chemistry Club,79456705,1454,2508,1
28,1028,Bored Ape Kennel Club,108210267,5622,13715,5013
29,1029,Bored Ape Yacht Club,783882186,8284,22584,5862
30,1030,Bored Mummy Waking Up,11292073,6030,14816,3682
31,1031,Boss Beauties,11164537,5515,11216,4419
32,1032,Bubblegum Kids,3920843,2870,7710,3497
33,1033,BugBears,24400384,7454,17801,6104
34,1034,Bulls On The Block,13854185,6274,18875,4431
35,1035,Bunks,4201788,800,5362,1105
36,1036,Byo Pills,6951969,4379,9974,3462
37,1037,BYOKEY,3591027,1388,2494,1
38,1038,Chain Saw,5241292,31,47,28
39,1039,Chibi Apes,4648689,2668,4876,1726
40,1040,Chicken Derby,10478556,4469,19605,5461
41,1041,Chill Frogs NFT,8502440,3777,9265,2467
42,1042,Chubbies,4442102,2057,5486,2874
43,1043,Colonize Mars,10256185,18492,395412,25489
44,1044,Cool Cats,186937798,7960,23007,5029
45,1045,COVIDPunks,5426279,4338,9981,3841
46,1046,Crazy Lizard Army,7296914,2889,10510,1884
47,1047,Creature World NFT,93805609,9245,19740,5928
48,1048,CreatureToadz,11507345,4192,7683,5449
49,1049,Crypto Beasts,4117548,1486,4263,2744
50,1050,Crypto Cannabis Club,10865750,4311,9972,3993
51,1051,Crypto Cavemen,3365520,3059,7862,3511
52,1052,Crypto Raiders Characters,2709540,1360,4523,2122
53,1053,Crypto Zunks,2993628,3069,7207,2834
54,1054,CrypToadz,170407439,6277,15005,3525
55,1055,CryptoArte,17817569,4121,9709,3347
56,1056,CryptoCubs,2950567,2162,7821,1472
57,1057,CryptoFlyz,3912501,1776,3300,3149
58,1058,CryptoHoots Steampunk Parliament,9290677,1642,3847,958
59,1059,CryptoKitties,45790208,111129,786656,109858
60,1060,CryptoPunks,1664246968,4723,18961,3289
61,1061,Cryptovoxels,25769658,2191,9481,1713
62,1062,Cupcats Official,21307463,3096,8106,2015
63,1063,Curio Cards,102446048,6051,18595,1
64,1064,Cyber Frogs,4726478,3896,10043,4566
65,1065,Cyber Pharmacist,2498805,3206,8452,3689
66,1066,CyberKongz,119204627,2279,3962,2048
67,1067,CyberKongz VX,59478087,5253,14123,3916
68,1068,Dapper Dinos NFT,13383512,4815,10187,4674
69,1069,Dead Heads,12480659,4617,14039,3342
70,1070,DeadFellaz,29222282,8051,17166,5208
71,1071,Deafbeef,19249730,91,135,109
72,1072,Degenerate Ape Academy,110968075,5816,17266,5002
73,1073,Desperate ApeWives,16828504,3414,7324,4870
74,1074,Dirtybird Flight Club,3550174,2925,6194,3547
75,1075,Divine Anarchy,13868473,4496,8440,4920
76,1076,Divine Order,2725493,3730,8942,3630
77,1077,Doodles,97201419,7069,12899,5150
78,1078,DystoPunks V2,19165801,1207,2876,672
79,1079,Emblem Vault,86635500,3951,14411,4495
80,1080,Eternal Beings,4559266,5267,12651,5525
81,1081,Ether Cards Founder Series,5162803,482,1292,1567
82,1082,Evolution,2536468,746,4961,2061
83,1083,F1 Delta Time,6659338,1062,8050,1485
84,1084,Fame Lady Squad,4913009,4195,9871,3585
85,1085,Famous Fox Federation,4841946,2444,5228,2975
86,1086,Fancy Frenchies,7889067,5127,12367,4492
87,1087,Farmers World,142416548,19459,456350,28679
88,1088,Farming Tales,33930249,8436,125753,5644
89,1089,Fast Food Frens Collection,4454866,2337,5254,1935
90,1090,Fat Ape Club,12794931,3536,5590,5570
91,1091,Fluf World,54684778,5214,14803,3500
92,1092,Fluffy Polar Bears,3794206,3066,5104,0
93,1093,Forgotten Runes,17729910,3620,11562,2442
94,1094,FoxFam,12525884,4313,10952,3059
95,1095,Frakt,22515099,4243,12168,1179
96,1096,Frontier Game,23972975,3257,7409,0
97,1097,Galactic Gecko Space Garage,45980345,5193,18117,4107
98,1098,GalacticApes,54804326,6025,15564,3466
99,1099,Galaxy Eggs,45598922,7026,15296,5068
100,1100,Galaxy Fight Club,17903757,4232,13866,2464
101,1101,Gauntlets,10082528,2879,6296,3816
102,1102,Generativemasks,8834952,3968,9479,3599
103,1103,GenX by HOK,3541901,2390,4991,3264
104,1104,Glue Factory Show,3662596,3236,6859,3453
105,1105,Goatz,2700380,2370,6249,2892
106,1106,Gods Unchained,3801591,3564,386317,15200
107,1107,Goons of Balatroon,9503732,3246,7894,3464
108,1108,GOOP TROOP,10596235,3230,8223,2515
109,1109,Great Ape Society,4418161,4852,10195,4009
110,1110,Green Rabbit,2960392,5235,84184,5703
111,1111,Grim Syndicate,4576564,1740,5041,2552
112,1112,Gutter Cat Gang,35876258,1729,3343,0
113,1113,Gutter Rats,12682958,1738,3157,0
114,1114,Habbo Avatars,19067198,4103,9229,3502
115,1115,Hashmasks,81416217,5419,17768,5089
116,1116,HeavenComputer,7994165,3222,7892,2924
117,1117,Illuvium,4849821,1255,3021,0
118,1118,Incognito,17461974,5146,15504,3338
119,1119,Infinity Labs,15767022,3617,10780,3236
120,1120,Jenkins the Valet The Writers Room,5625102,3242,6991,2643
121,1121,JungleCats,6356195,3541,6871,3126
122,1122,JunkYardDogs,6714714,4152,9169,3337
123,1123,Kaiju Cards,3654547,1662,3823,2599
124,1124,Kaiju Kingz,55537147,1824,3209,1829
125,1125,KAM1,2759049,4048,8981,4780
126,1126,KingFrogs,7262567,3669,7385,5324
127,1127,Knights of Degen,4125396,1873,4930,2540
128,1128,Koala Intelligence Agency,40591577,7519,16275,4903
129,1129,KOGS,3252371,12001,555365,15377
130,1130,Lazy Lions,62711441,8547,20880,4739
131,1131,LegionPunks,2535490,1702,3794,2410
132,1132,Lonely Alien Space Club,16164746,4770,12750,3811
133,1133,Lonely Frog Lambo Club,2968806,3214,6537,3410
134,1134,Long Neckie Ladies,2977288,1635,3804,1414
135,1135,Loot,264652035,3571,9997,2555
136,1136,LOSTPOETS,85240932,7429,19165,6349
137,1137,Meebits,237519388,5112,13580,5361
138,1138,Meerkat Millionaires Country Club,23562736,4319,8908,4546
139,1139,MekaVerse,157475681,4668,9335,5089
140,1140,Metabaes,6132674,4947,10969,4866
141,1141,MetaHero Universe DAO Tokens,9006014,1449,2382,1
142,1142,MetaHero Universe Generative,26529363,888,1222,2948
143,1143,Metasaurs by Dr. DMT,28612483,6390,12526,5732
144,1144,Mike Tyson NFT,17537597,756,1413,321
145,1145,Monkey Bet DAO,16248280,5313,12029,3236
146,1146,Mooncats,59724904,6826,19897,5918
147,1147,Mutant Ape Yacht Club,422429206,10350,17343,10254
148,1148,Mutant Garden Seeder,9798416,250,468,272
149,1149,MutantCats,55460314,8614,19482,4369
150,1150,NAH Fungible Bones,9089629,6040,13656,4877
151,1151,NBA Top Shot,781965423,374818,11790699,603928
152,1152,Neo Tokyo Identities,39417867,691,901,1908
153,1153,NFT Worlds,9315766,3986,8345,5054
154,1154,Nftboxes,5045193,1444,3638,3071
155,1155,Nftrees,5360400,313,559,261
156,1156,Nifty League DEGENs,11646204,3822,8550,4068
157,1157,Non Fungible Fungi Genesis,4480098,127,167,71
158,1158,Obits Official,8468831,4870,10655,3010
159,1159,OnChainMonkey,11721073,4552,13165,2858
160,1160,Panini America,18729363,7203,211498,6194
161,1161,Parallel Alpha,163724921,11103,67736,0
162,1162,Party Ape Billionaire Club,24986437,5237,10594,5265
163,1163,Peaceful Groupies,35215121,7696,17769,3730
164,1164,Pesky Penguins,6515871,1948,6605,3917
165,1165,Piggy Sol Gang,7217495,3875,10104,4302
166,1166,Playboy Rabbitars Official,8144028,2886,5605,4921
167,1167,Pudgy Penguins,136335178,9948,26720,4719
168,1168,PUNKS Comic,129584623,3357,8757,3097
169,1169,PunkScapes,3461947,2350,5831,3683
170,1170,Purrnelopes Country Club,8438984,2216,8170,3067
171,1171,R Planet,17994717,11908,103809,13268
172,1172,Rebel Seals Club,6265059,3162,7997,2755
173,1173,Red Panda Squad,7285002,5148,12631,4111
174,1174,Robotos Official,29939709,8655,18535,5229
175,1175,Rogue Sharks,13454548,6178,15257,6619
176,1176,Rogue Society Bot,10638455,6917,14512,6880
177,1177,Royal Society Players,8708478,1463,7158,1616
178,1178,Rumble Kong League,33317461,3881,9969,2852
179,1179,Sad Frogs District,7438576,3232,8676,2169
180,1180,Shabu Town Shibas,3894447,2734,6145,2985
181,1181,Sipherian Flash,3290587,1849,3146,3758
182,1182,Sipherian Surge,18118522,5063,12201,3647
183,1183,Skeleton Crew Skulls,4699149,2650,7390,6010
184,1184,Smilesssvrs,12155174,3350,6343,4111
185,1185,Sneaky Vampire Syndicate,63849854,5244,12384,4621
186,1186,Sol Souls,2854097,2724,7098,4131
187,1187,Solana Bananas,3794244,1316,2883,1025
188,1188,Solana Monkey Business,111321313,3033,6727,2566
189,1189,Solana Valley,2571696,2696,6446,3902
190,1190,SolanaDogeNFTs,3309960,1474,4105,1189
191,1191,Solarians,4804586,921,1511,1874
192,1192,SolChicks,3850851,1998,4523,2775
193,1193,Sollamas,9561936,4151,9642,3387
194,1194,SolPunks,32952969,5926,14399,4414
195,1195,SolSnatchers,6834358,5997,15921,4105
196,1196,Solsteads,17915196,1621,3120,1664
197,1197,SolYetis,4644724,5915,12454,5918
198,1198,Sorare,129615752,42675,713122,60277
199,1199,Space Poggers,8531457,4174,12301,3339
200,1200,Space Punks Club,19780599,5556,12197,4557
201,1201,Splinterlands,4191363,7660,113731,6877
202,1202,StackedToadz,12958391,2074,4409,1372
203,1203,Star Sailor Siblings,9104714,3129,8857,2446
204,1204,Stoner Cats,19850033,4547,8498,4951
205,1205,Street Fighter,2722884,15016,466520,43495
206,1206,Stylish Studs,3631509,1849,5623,2303
207,1207,Sup Ducks,54344484,5891,14987,3256
208,1208,Super Shiba Club,3662789,2435,6390,2842
209,1209,Super Yeti,3317238,4394,9223,3872
210,1210,The Alien Boy,5288426,4478,13495,3639
211,1211,The CryptoDads,35221001,6945,13596,8144
212,1212,The Doge Pound,77618297,6325,12674,5501
213,1213,The Humanoids,37221336,8158,17566,5289
214,1214,The Lost Glitches,4986453,2859,6610,3448
215,1215,The n project,38674794,4757,11825,2437
216,1216,The Official Surreals,14235397,5618,10998,4967
217,1217,The Sandbox,101869777,9349,20452,14723
218,1218,The Sevens,41144115,5155,9567,3956
219,1219,The Shiboshis,36173994,2565,5961,3622
220,1220,The Sneks,3621311,4206,12388,5078
221,1221,The Vogu Collective,21663898,4160,10800,2820
222,1222,The Wanderers,12827199,6002,12184,4363
223,1223,The Wicked Craniums,22336646,6921,20336,4530
224,1224,The Yakuza Cats Society,16764571,5572,13099,3550
225,1225,TheHeartProject,12063214,5432,12408,4796
226,1226,Thug Birdz,23216571,2608,6492,2163
227,1227,Tom Sachs Rocket Factory,29016690,723,2536,306
228,1228,Top Dog Beach Club,4214413,2607,5633,2901
229,1229,Topps MLB,16140135,16014,579217,35546
230,1230,Train of the Century,2504080,3139,39460,3160
231,1231,Treeverse,36541570,4575,9943,3828
232,1232,Trippy Bunny Tribe,3240766,952,1496,884
233,1233,UninterestedUnicorns,5802415,865,2390,1974
234,1234,Unirexcity,3737012,4594,8310,7
235,1235,Veefriends,96224091,1401,2940,5099
236,1236,Visitors Of Imma Degen,6240865,3309,10469,2623
237,1237,Vox Collectibles,37809113,5242,14172,3095
238,1238,Voxies,14550687,1389,5261,1607
239,1239,Voxodeus,6359391,2221,7182,1635
240,1240,Wanna Panda,3008308,2475,6275,2858
241,1241,Weird Whales,3137059,1497,2969,1649
242,1242,Winter Bears,26624321,8102,18209,4642
243,1243,Wolf Game,51776391,3803,8542,180
244,1244,World Of Women,80972342,6574,17576,4568
245,1245,World Poker Tour,14610752,518,4249,1228
246,1246,Wrapped Cryptocats,2774010,111,201,145
247,1247,Wrapped Strikers,7514472,853,1995,786
248,1248,Xpansion,4568909,3056,28013,10767
249,1249,Zed Run,120191155,40469,160217,40190
250,1250,ZombieCats,3883894,3085,6281,2777